K,ELE
0,107.01
50,108.3407425
100,108.2505575
150,107.98
200,107.98
250,108.9024075
300,108.74639
350,109.5576825
400,110.28
450,110.3065725
500,110.5562025
550,111.0866675
600,111.39
650,111.4426875
700,111.992495
750,112.019516
800,112.28
850,112.428425
900,112.5532375
950,112.58444
1000,113.16
1050,113.180287
1100,113.19991
1150,113.57866
1200,113.63
1250,112.9276825
1300,112.615645
1350,112.259926
1400,112.33361
1450,113.0127183
1500,114.0672883
1550,114.877704
1600,114.93
1650,114.23824
1700,113.582962
1750,112.95889
1800,112.66
1850,110.1505575
1900,108.7367075
1950,107.92756
2000,107.89
2050,105.594815
2100,104.471482
2150,103.597776
2200,103.09
2250,102.026
2300,101.4133333
2350,100.7278517
2400,100.72
2450,100.883055
2500,101.07028
2550,102.610326
2600,103.37
2650,102.282858
2700,101.887595
2750,101.8
2800,101.8
2850,101.74417
2900,101.72556
2950,102.224814
3000,102.62
3050,103.101112
3100,103.444444
3150,103.909815
3200,104.2
3250,106.044148
3300,107.2486125
3350,108.989258
3400,109.65
3450,109.76071
3500,109.800152
3550,110.3826425
3600,110.88
3650,109.064215
3700,106.942814
3750,105.1174075
3800,104.64
3850,104.8771325
3900,105.28
3950,105.8345683
4000,106.27
4050,105.819482
4100,104.94578
4150,104.502685
4200,104.52
4250,104.8147225
4300,105.28278
4350,106.15648
4400,106.69
4450,107.840865
4500,108.27434
4550,108.49
4600,108.49
4650,108.04315
4700,108.563315
4750,108.992312
4800,109.07
4850,109.353086
4900,110.02
4950,111.45312
5000,112.21
5050,111.2508325
5100,109.4590189
5150,106.780555
5200,105.51
5250,102.911295
5300,102.1
5350,101.201334
5400,100.46
5450,100.6958325
5500,100.752002
5550,100.72704
5600,100.73
5650,100.92
5700,101.1947225
5750,101.72556
5800,102.15
5850,104.28426
5900,106.0717283
5950,105.586666
6000,104.56
6050,103.034888
6100,102.6928675
6150,102.4879483
6200,102.38
6250,101.3715775
6300,101.3511125
6350,100.8560314
6400,100.47
6450,97.731482
6500,97.45065
6550,97.66074
6600,97.59
6650,97.117852
6700,97.053408
6750,97.76623667
6800,98.56
6850,100.6646325
6900,100.336114
6950,100.070475
7000,100.08
7050,100.46
7100,100.084815
7150,99.3228675
7200,98.71
7250,98.6987975
7300,98.829848
7350,99.1044425
7400,99.26
7450,100.040555
7500,100.6854333
7550,101.288705
7600,101.63
7650,102.162405
7700,102.34963
7750,102.22481
7800,102.15
7850,102.349628
7900,102.9425
7950,103.047118
8000,102.91
8050,102.289776
8100,102.22481
8150,102.1
8200,102.01
8250,102.318425
8300,103.410555
8350,105.0955575
8400,105.84
8450,106.907406
8500,107.66463
8550,108.02526
8600,108.04
8650,107.2486125
8700,107.367186
8750,107.81028
8800,108.17
8850,109.101682
8900,109.8737125
8950,110.346465
9000,110.52
9050,110.522472
9100,110.2971975
9150,110.012576
9200,110.03
9250,109.343565
9300,108.701128
9350,108.103654
9400,107.53
9450,105.170446
9500,103.254535
9550,102.3310175
9600,102.25
9650,103.797482
9700,104.78352
9750,105.4075925
9800,105.64
9850,105.7508325
9900,105.626015
9950,105.81324
10000,105.98
10050,106.936575
10100,107.4670375
10150,107.7
10200,107.7
10250,106.530925
10300,105.0955575
10350,103.62898
10400,103.16
10450,103.722595
10500,104.671188
10550,105.2203733
10600,105.47
10650,106.019184
10700,106.58033
10750,107.0343375
10800,107.01
10850,107.17
10900,107.16
10950,106.84365
11000,106.8753433
11050,106.4737425
11100,105.4434217
11150,104.568178
11200,104.06
11250,102.5850833
11300,101.6952325
11350,102.127446
11400,102.54
11450,102.64864
11500,102.7969533
11550,102.93467
11600,103.18
11650,103.5384925
11700,104.1213925
11750,104.746835
11800,105.42
11850,105.663812
11900,105.76312
11950,105.222855
12000,104.86
12050,103.0013275
12100,102.1509525
12150,101.347216
12200,101.19
12250,100.9325
12300,100.9325
12350,100.99606
